idx,year,race,location,type_simple,DemPredFinal,RepPredFinal,DemShareAct,RepShareAct
224,2006,2006_Gov-G_SC,SC,Gov-G,0.40702896188154397,0.592971038118456,0.4484484484484484,0.5515515515515516
225,2006,2006_Gov-G_TN,TN,Gov-G,0.6658292168959832,0.33417078310401677,0.6978636826042726,0.3021363173957274
226,2006,2006_Gov-G_TX,TX,Gov-G,0.39557377358647816,0.6044262264135218,0.433139534883721,0.5668604651162791
227,2006,2006_Gov-G_VT,VT,Gov-G,0.44565217391304346,0.5543478260869565,0.4219712525667351,0.5780287474332648
228,2006,2006_Gov-G_WI,WI,Gov-G,0.524763667513359,0.4752363324866411,0.5382262996941896,0.4617737003058104
229,2006,2006_Sen-G_AZ,AZ,Sen-G,0.4611888313131095,0.5388111686868905,0.44919454770755884,0.5508054522924412
230,2006,2006_Sen-G_CA,CA,Sen-G,0.6340484251649419,0.3659515748350582,0.6292218104817363,0.37077818951826363
231,2006,2006_Sen-G_DE,DE,Sen-G,0.6976744186046512,0.3023255813953488,0.7097902097902098,0.2902097902097902
232,2006,2006_Sen-G_FL,FL,Sen-G,0.6272615566299778,0.37273844337002215,0.6128048780487805,0.3871951219512195
233,2006,2006_Sen-G_MA,MA,Sen-G,0.7134931272198174,0.28650687278018255,0.6940410615923885,0.30595893840761146
234,2006,2006_Sen-G_MD,MD,Sen-G,0.5254115046748751,0.4745884953251249,0.5508586525759578,0.4491413474240423
235,2006,2006_Sen-G_ME,ME,Sen-G,0.19918600902643457,0.8008139909735655,0.21765327695560252,0.7823467230443975
236,2006,2006_Sen-G_MI,MI,Sen-G,0.5579644494894657,0.44203555051053445,0.5797086686360395,0.4202913313639605
237,2006,2006_Sen-G_MN,MN,Sen-G,0.6052108835021656,0.3947891164978344,0.6047916666666667,0.39520833333333333
238,2006,2006_Sen-G_MO,MO,Sen-G,0.511486414189598,0.48851358581040205,0.5117143152028073,0.4882856847971927
239,2006,2006_Sen-G_MT,MT,Sen-G,0.523288024426847,0.4767119755731531,0.5044638276038994,0.4955361723961006
240,2006,2006_Sen-G_NJ,NJ,Sen-G,0.5353827028655088,0.4646172971344913,0.5462081670248694,0.4537918329751305
241,2006,2006_Sen-G_NM,NM,Sen-G,0.6081504702194358,0.39184952978056425,0.7065239143486092,0.29347608565139083
242,2006,2006_Sen-G_NV,NV,Sen-G,0.42571017461570426,0.5742898253842958,0.42542812662169177,0.5745718733783083
243,2006,2006_Sen-G_NY,NY,Sen-G,0.6691085379425282,0.3308914620574717,0.6836037139067441,0.31639628609325576
244,2006,2006_Sen-G_OH,OH,Sen-G,0.5668117007782811,0.43318829922171886,0.5617123424684938,0.43828765753150634
245,2006,2006_Sen-G_PA,PA,Sen-G,0.5533752975158024,0.44662470248419756,0.5868694955964772,0.41313050440352284
246,2006,2006_Sen-G_RI,RI,Sen-G,0.5251702985872745,0.4748297014127255,0.5352126805778491,0.46478731942215085
247,2006,2006_Sen-G_TN,TN,Sen-G,0.48371787568381996,0.5162821243161799,0.48622087132725433,0.5137791286727457
248,2006,2006_Sen-G_TX,TX,Sen-G,0.33287189541900897,0.6671281045809909,0.36877110406221225,0.6312288959377879
249,2006,2006_Sen-G_UT,UT,Sen-G,0.33999999999999997,0.6599999999999999,0.3324769856561764,0.6675230143438236
250,2006,2006_Sen-G_VA,VA,Sen-G,0.5104050707414172,0.48959492925858294,0.5019738839963559,0.4980261160036441
251,2006,2006_Sen-G_WA,WA,Sen-G,0.5591426330748687,0.4408573669251314,0.5873655913978495,0.4126344086021505
252,2006,2006_Sen-G_WI,WI,Sen-G,0.659762276828918,0.340237723171082,0.6954230808967868,0.3045769191032131
